"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-50.5385555555556 -19.9457777777778)","PLU",NA,NA," RESIDENCIAL ADUPO"," OBRAS"," 120"," LOTE"," PLU"," 1200000"," 1391518,52"," Chácara SANTA RITA"," S/N"," FAZENDA SANTA RITA"," "," POPULINA"," 3540408"," ESP"," -50.5385555555556"," -19.9457777777778",1
"2","Funciona","POINT (-47.59 -20.45775)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL FARID SALOMÃO"," OBRAS"," 203"," LOTE"," PLU"," 1925112,30"," 2019599,03"," Rua PRUDENTE DE MORAIS"," 709"," RIBEIRÃO CORRENTE"," "," RIBEIRÃO CORRENTE"," 3543105"," ESP"," -47.59"," -20.45775",2
"3","Funciona","POINT (-49.6802222222222 -19.9819444444444)","PLU",NA,NA," RESIDENCIAL FELICIDADE"," ENTREGA TOTAL"," 69"," LOTE"," PLU"," 690000"," 762462,97"," Rua                       10"," "," "," "," RIOLÂNDIA"," 3544202"," ESP"," -49.6802222222222"," -19.9819444444444",3
"4","Funciona","POINT (-51.0311111111111 -20.3435277777778)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL ADUR"," OBRAS"," 132"," LOTE"," PLU"," 439013,35"," 462859,08"," Rodovia EUCLIDES DA CUNHA"," S/N"," "," "," RUBINÉIA"," 3544509"," ESP"," -51.0311111111111"," -20.3435277777778",4
"5","Funciona","POINT (-50.7289166666667 -20.0315)","PLU",NA,NA," RESIDENCIAL ADESCAU II"," ENTREGA TOTAL"," 102"," LOTE"," PLU"," 775555,88"," 775555,88"," Rua Principal JOÃO LUJAN"," S/N"," "," "," SANTA ALBERTINA"," 3545704"," ESP"," -50.7289166666667"," -20.0315",5
"6","Funciona","POINT (-50.7283055555556 -20.0309166666667)","PLU",NA,NA," RESIDENCIAL ADESCAU I"," ENTREGA TOTAL"," 99"," LOTE"," PLU"," 990000"," 1096150"," Rua Principal JOÃO LUJAN"," S/N"," "," "," SANTA ALBERTINA"," 3545704"," ESP"," -50.7283055555556"," -20.0309166666667",6
"7","Funciona","POINT (-50.9292222222222 -20.0921111111111)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL ADUSCO"," OBRAS"," 93"," LOTE"," PLU"," 891442,99"," 907061,77"," Loteamento LOTE 1.878, GLEBA B-2"," S/N"," "," "," SANTA CLARA D'OESTE"," 3546108"," ESP"," -50.9292222222222"," -20.0921111111111",7
"8","Funciona","POINT (-50.3547777777778 -20.5113055555556)","PLU",NA,NA," RESIDENCIAL PARQUE DAS PALMEIRAS"," ENTREGA TOTAL"," 32"," LOTE"," PLU"," 266665,01"," 270197,87"," Rua Principal OSVALDO MENDES DA COSTA"," S/N"," "," "," SÃO JOÃO DE IRACEMA"," 3549250"," ESP"," -50.3547777777778"," -20.5113055555556",8
"9","Funciona","POINT (-50.92425 -20.6876944444444)","PLU",NA,NA," RESIDENCIAL SUD MENNUCCI F"," OBRAS"," 122"," LOTE"," PLU"," 1152216,17"," 1157248,40"," Rua                       MANOEL DA SILVA MARTELO"," "," "," "," SUD MENNUCCI"," 3552304"," ESP"," -50.92425"," -20.6876944444444",9
"10","Funciona","POINT (-46.7459166666667 -21.4715277777778)","PLU",NA,NA," JARDIM PREFEITO JONAS SCAFF"," OBRAS >= 85%"," 224"," LOTE"," PLU"," 2230235,25"," 2516354,89"," Rua Principal HUNMBERTO MAIERU"," S/N"," "," "," TAPIRATIBA"," 3553609"," ESP"," -46.7459166666667"," -21.4715277777778",10
"11","Funciona","POINT (-50.0557222222222 -21.051)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL ANTÔNIO ZACARIAS"," OBRAS"," 67"," CASA"," PLU"," 478887,70"," 490674,58"," Avenida DA SAUDADE"," S/N"," "," "," ZACARIAS"," 3557154"," ESP"," -50.0557222222222"," -21.051",11
"12","Funciona","POINT (-48.7812222222222 -22.1930555555556)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL BORACÉIA - F"," OBRAS"," 84"," LOTE"," PLU"," 546896,40"," 552582"," Rua Principal APARECIDO DURVALINO SIMPIONI"," S/N"," JARDIM PARAÍSO"," "," BORACÉIA"," 3507308"," ESP"," -48.7812222222222"," -22.1930555555556",12
"13","Funciona","POINT (-51.4899444444444 -20.8692222222222)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL DE INTERESSE SOCIAL NOVA ESPERANÇA DE OLGA BENÁRIO"," OBRAS"," 178"," LOTE"," PLU"," 1242288,99"," 1250233,83"," Via de Acesso ANEL VIÁRIO SEBASTIÃO ANTONIO DA SILVA"," S/N"," "," "," CASTILHO"," 3511003"," ESP"," -51.4899444444444"," -20.8692222222222",13
"14","Funciona","POINT (-51.3476388888889 -20.4312777777778)","PLU",NA,NA," RESIDENCIAL MORADA DO SOL"," OBRAS"," 450"," LOTE"," PLU"," 4500000"," 5937950,17"," Rua                       ITAMAR GOUVEIA"," "," "," "," ILHA SOLTEIRA"," 3520442"," ESP"," -51.3476388888889"," -20.4312777777778",14
"15","Funciona","POINT (-50.2899722222222 -19.9796388888889)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL ADUI"," OBRAS"," 105"," LOTE"," PLU"," 920214,29"," 956256,04"," Rua RUA A ATÉ A RUA H"," S/N"," "," "," INDIAPORÃ"," 3520707"," ESP"," -50.2899722222222"," -19.9796388888889",15
"16","Funciona","POINT (-50.0981388888889 -20.8513333333333)","PLU",NA,NA," LOTEAMENTO MONÇÕES I"," ENTREGA TOTAL"," 124"," LOTE"," PLU"," 559450,17"," 562711,56"," Rua                       Rio Branco"," "," "," "," MONÇÕES"," 3531001"," ESP"," -50.0981388888889"," -20.8513333333333",16
"17","Funciona","POINT (-51.4916944444444 -21.1058055555556)","PLU",NA,NA," LOTEAMENTO RESIDENCIAL JARDIM BELA VISTA"," CONCLUÍDO"," 64"," LOTE"," PLU"," 573538,71"," 590565,21"," Rua Principal RUA MARCILIO BARBOSA DE OLIVEIRA"," S/N"," "," "," NOVA INDEPENDÊNCIA"," 3533205"," ESP"," -51.4916944444444"," -21.1058055555556",17
"18","Funciona","POINT (-50.5891944444444 -20.1050277777778)","PLU",NA,NA," RESIDENCIAL ADUP"," OBRAS"," 93"," LOTE"," PLU"," 930000"," 996364,69"," Rua Principal CORREGO DAS ARARAS"," S/N"," "," "," PARANAPUÃ"," 3535903"," ESP"," -50.5891944444444"," -20.1050277777778",18
